iter	Passed	Remaining
560	1924	1506
561	1927	1502
562	1931	1498
563	1934	1495
564	1937	1491
565	1940	1487
566	1943	1484
567	1947	1481
568	1951	1478
569	1955	1474
570	1958	1471
571	1961	1467
572	1965	1464
573	1968	1460
574	1971	1457
575	1974	1453
576	1978	1450
577	1981	1446
578	1985	1443
579	1989	1440
580	1992	1436
581	1996	1433
582	1999	1430
583	2002	1426
584	2005	1422
585	2009	1419
586	2012	1416
587	2016	1412
588	2019	1408
589	2022	1405
590	2026	1402
591	2030	1399
592	2033	1395
593	2036	1391
594	2039	1387
595	2042	1384
596	2045	1381
597	2048	1377
598	2051	1373
599	2054	1369
600	2058	1366
601	2061	1362
602	2064	1359
603	2067	1355
604	2070	1351
605	2073	1348
606	2077	1345
607	2080	1341
608	2083	1337
609	2086	1333
610	2090	1331
611	2094	1327
612	2097	1323
613	2100	1320
614	2103	1316
615	2107	1313
616	2110	1310
617	2113	1306
618	2116	1302
619	2119	1299
620	2123	1295
621	2126	1292
622	2129	1288
623	2131	1284
624	2135	1281
625	2138	1277
626	2141	1274
627	2144	1270
628	2147	1266
629	2150	1263
630	2154	1259
631	2157	1256
632	2160	1252
633	2163	1248
634	2167	1245
635	2170	1242
636	2173	1238
637	2176	1234
638	2179	1231
639	2182	1227
640	2186	1224
641	2189	1221
642	2192	1217
643	2195	1213
644	2199	1210
645	2203	1207
646	2206	1203
647	2209	1200
648	2212	1196
649	2216	1193
650	2220	1190
651	2223	1186
652	2226	1182
653	2229	1179
654	2233	1176
655	2237	1173
656	2240	1169
657	2243	1166
658	2247	1162
659	2251	1159
660	2254	1156
661	2257	1152
662	2260	1148
663	2264	1145
664	2267	1142
665	2270	1138
666	2274	1135
667	2277	1131
668	2281	1128
669	2284	1125
670	2288	1121
671	2291	1118
672	2295	1115
673	2299	1112
674	2302	1108
675	2305	1105
676	2309	1101
677	2313	1098
678	2316	1095
679	2319	1091
680	2322	1087
681	2325	1084
682	2329	1080
683	2331	1077
684	2335	1073
685	2338	1070
686	2341	1066
687	2344	1063
688	2347	1059
689	2351	1056
690	2353	1052
691	2356	1048
692	2360	1045
693	2363	1041
694	2366	1038
695	2369	1034
696	2372	1031
697	2376	1028
698	2380	1024
699	2383	1021
700	2386	1017
701	2390	1014
702	2394	1011
703	2397	1007
704	2400	1004
705	2403	1000
706	2407	997
707	2410	994
708	2413	990
709	2417	987
710	2421	984
711	2424	980
712	2428	977
713	2431	974
714	2435	970
715	2439	967
716	2442	964
717	2445	960
718	2448	957
719	2451	953
720	2455	950
721	2458	946
722	2461	943
723	2465	939
724	2469	936
725	2472	933
726	2476	929
727	2479	926
728	2482	923
729	2487	920
730	2491	916
731	2494	913
732	2497	909
733	2503	907
734	2506	903
735	2510	900
736	2513	897
737	2517	893
738	2521	890
739	2524	887
740	2527	883
741	2531	880
742	2534	876
743	2538	873
744	2541	869
745	2544	866
746	2548	863
747	2552	859
748	2555	856
749	2558	852
750	2561	849
751	2565	846
752	2567	842
753	2570	838
754	2574	835
755	2577	831
756	2581	828
757	2585	825
758	2588	821
759	2591	818
760	2596	815
761	2599	811
762	2603	808
763	2606	805
764	2609	801
765	2613	798
766	2616	794
767	2619	791
768	2622	787
769	2626	784
770	2629	780
771	2632	777
772	2635	773
773	2638	770
774	2643	767
775	2646	763
776	2649	760
777	2652	756
778	2655	753
779	2659	750
780	2662	746
781	2665	743
782	2669	739
783	2672	736
784	2676	733
785	2680	729
786	2683	726
787	2686	722
788	2690	719
789	2694	716
790	2697	712
791	2700	709
792	2704	705
793	2708	702
794	2712	699
795	2715	695
796	2718	692
797	2722	689
798	2726	685
799	2729	682
800	2732	678
801	2737	675
802	2741	672
803	2744	668
804	2748	665
805	2751	662
806	2756	659
807	2760	655
808	2762	652
809	2765	648
810	2770	645
811	2774	642
812	2777	638
813	2780	635
814	2784	632
815	2787	628
816	2791	625
817	2795	621
818	2797	618
819	2801	614
820	2804	611
821	2807	608
822	2810	604
823	2814	601
824	2817	597
825	2820	594
826	2823	590
827	2826	587
828	2830	583
829	2833	580
830	2836	576
831	2839	573
832	2842	569
833	2847	566
834	2850	563
835	2853	559
836	2856	556
837	2860	553
838	2864	549
839	2867	546
840	2870	542
841	2873	539
842	2876	535
843	2880	532
844	2884	529
845	2887	525
846	2890	522
847	2894	518
848	2897	515
849	2900	511
850	2903	508
851	2906	504
852	2910	501
853	2913	498
854	2916	494
855	2920	491
856	2923	487
857	2928	484
858	2931	481
859	2934	477
860	2937	474
861	2941	470
862	2944	467
863	2948	464
864	2951	460
865	2955	457
866	2958	453
867	2962	450
868	2965	446
869	2968	443
870	2972	440
871	2975	436
872	2979	433
873	2982	429
874	2985	426
875	2989	423
876	2993	419
877	2996	416
878	3000	413
879	3004	409
880	3007	406
881	3011	402
882	3014	399
883	3017	395
884	3021	392
885	3024	389
886	3027	385
887	3030	382
888	3033	378
889	3037	375
890	3040	371
891	3043	368
892	3046	365
893	3050	361
894	3054	358
895	3057	354
896	3060	351
897	3063	348
898	3067	344
899	3071	341
900	3074	337
901	3077	334
902	3081	330
903	3085	327
904	3088	324
905	3092	320
906	3095	317
907	3099	314
908	3102	310
909	3106	307
910	3109	303
911	3113	300
912	3117	297
913	3121	293
914	3124	290
915	3127	286
916	3131	283
917	3136	280
918	3139	276
919	3142	273
920	3146	269
921	3150	266
922	3154	263
923	3157	259
924	3160	256
925	3164	252
926	3167	249
927	3171	246
928	3174	242
929	3178	239
930	3182	235
931	3185	232
932	3189	229
933	3192	225
934	3197	222
935	3200	218
936	3203	215
937	3206	211
938	3210	208
939	3214	205
940	3217	201
941	3220	198
942	3224	194
943	3228	191
944	3231	188
945	3234	184
946	3238	181
947	3242	177
948	3245	174
949	3248	170
950	3251	167
951	3254	164
952	3258	160
953	3261	157
954	3265	153
955	3268	150
956	3271	147
957	3275	143
958	3279	140
959	3282	136
960	3286	133
961	3290	129
962	3293	126
963	3297	123
964	3300	119
965	3304	116
